Fecha,Campana,Estacion,Grupo,Longitude,Latitude,pH,Temp_C,TDS_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,CO3_mgL,SO4_mgL,Cl_mgL,F_mgL
2021-04-12,C01,Amargosa Tracer Well 2,Carbonate in Ash Meadows,-116.22749993863542,36.53456857486851,7.39,20.8,523.0,44.46,20.26,67.24,7.9,292.63,0.0,69.05,20.17,1.64
2021-04-12,C01,Army Well #1,Carbonate in Ash Meadows,-116.03729999376596,36.58978108246754,7.39,20.5,450.0,43.1,23.31,38.51,5.59,270.43,0.0,52.28,15.94,0.91
2021-04-12,C01,AW03,Central Amargosa Desert,-116.4450492026956,36.627732092347,7.46,20.8,269.0,28.03,1.92,44.27,4.62,148.11,0.0,32.2,8.5,0.89
2021-04-12,C01,AW04,Central Amargosa Desert,-116.47921680298263,36.59106529063086,7.21,20.3,242.0,27.78,2.08,36.94,5.45,136.09,0.0,26.28,6.04,0.96
2021-04-12,C01,AW05,Central Amargosa Desert,-116.47893880298592,36.58217644111423,7.29,21.1,266.0,30.23,2.72,37.48,5.54,150.91,0.0,30.67,7.49,0.67
2021-04-12,C01,AW06,Central Amargosa Desert,-116.47421640295715,36.57773204940819,7.38,21.2,239.0,23.2,2.37,36.5,6.69,134.38,0.0,29.54,6.18,0.0
2021-04-12,C01,AW07,Central Amargosa Desert,-116.46254920287647,36.57162111021975,7.48,20.4,319.0,30.52,3.56,51.87,9.0,148.1,0.0,64.03,12.0,0.0
2021-04-12,C01,AW08,Central Amargosa Desert,-116.4606046028628,36.569398913731774,7.41,21.1,309.0,22.91,2.5,57.32,8.53,140.77,0.0,66.6,9.8,0.89
2021-04-12,C01,AW09,Central Amargosa Desert,-116.49643920310228,36.556343071023335,7.15,21.0,254.0,20.33,2.86,40.73,8.95,145.07,0.0,27.26,7.24,1.16
2021-04-12,C01,AW10,Central Amargosa Desert,-116.47004920294124,36.55551000677908,7.45,20.3,264.0,28.87,2.07,40.46,4.23,128.18,0.0,51.8,8.49,0.0
2021-04-12,C01,AW11,Central Amargosa Desert,-116.48927200306866,36.5466765232172,7.17,20.4,244.0,24.33,1.09,36.52,8.19,134.14,0.0,31.79,6.66,1.0
2021-04-12,C01,AW12,Central Amargosa Desert,-116.50707820315472,36.55420399323803,7.27,21.1,273.0,17.98,0.73,54.33,6.86,153.87,0.0,30.05,7.51,1.5
2021-10-18,C02,Amargosa Tracer Well 2,Carbonate in Ash Meadows,-116.22749993863542,36.53456857486851,7.57,24.1,539.0,43.41,20.58,67.94,7.97,306.09,0.0,70.38,20.59,1.64
2021-10-18,C02,Army Well #1,Carbonate in Ash Meadows,-116.03729999376596,36.58978108246754,7.8,23.2,460.0,43.83,22.67,39.73,5.43,274.59,0.0,56.53,16.53,0.87
2021-10-18,C02,AW03,Central Amargosa Desert,-116.4450492026956,36.627732092347,7.68,24.4,274.0,26.87,1.95,46.81,4.75,148.88,0.0,34.74,9.01,0.94
2021-10-18,C02,AW04,Central Amargosa Desert,-116.47921680298263,36.59106529063086,7.62,22.9,242.0,28.28,2.19,38.79,5.09,135.07,0.0,24.95,6.49,1.01
2021-10-18,C02,AW05,Central Amargosa Desert,-116.47893880298592,36.58217644111423,7.83,23.1,266.0,28.57,2.5,39.34,5.44,150.34,0.0,30.7,8.71,0.71
2021-10-18,C02,AW06,Central Amargosa Desert,-116.47421640295715,36.57773204940819,7.7,24.4,245.0,22.34,2.32,40.2,6.75,137.73,0.0,28.83,6.36,0.0
2021-10-18,C02,AW07,Central Amargosa Desert,-116.46254920287647,36.57162111021975,7.6,24.4,316.0,28.46,3.34,57.04,9.06,141.21,0.0,63.89,12.97,0.0
2021-10-18,C02,AW08,Central Amargosa Desert,-116.4606046028628,36.569398913731774,7.64,23.2,320.0,23.21,2.62,61.14,8.76,143.96,0.0,68.32,10.95,0.91
2021-10-18,C02,AW09,Central Amargosa Desert,-116.49643920310228,36.556343071023335,7.67,23.6,267.0,18.47,2.65,48.21,8.95,150.54,0.0,28.61,8.39,1.13
2021-10-18,C02,AW10,Central Amargosa Desert,-116.47004920294124,36.55551000677908,7.62,23.6,271.0,30.64,1.85,44.44,4.4,127.42,0.0,53.0,9.32,0.0
2021-10-18,C02,AW11,Central Amargosa Desert,-116.48927200306866,36.5466765232172,7.71,23.7,245.0,24.86,1.06,41.11,8.09,123.86,0.0,36.79,8.02,0.99
2021-10-18,C02,AW12,Central Amargosa Desert,-116.50707820315472,36.55420399323803,7.61,23.4,277.0,17.53,0.67,62.6,6.86,147.75,0.0,31.93,8.49,1.48
